Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Whites,7.0,250.4195374,41036.58555,30-45,7061.244815000001,Yes,715.4495946000001,Yes,Female,By_16:00,0.242861314,0.606073466,9545.0,444.77977089999996,45.50550731,5805.699789,615.9444125,18.81018572,21.08980253,0.455,56175.194410000004,Maybe,241684.3493,6.824767732000001,491.61402469999996,78.92894903,83.47317914,100.0,Education,10.0,64.35726857,2.0,Motorcycle_or_truck,Hightech,Yes,3.0,531.9727967
Khakis,1.0,191.13376599999998,20589.31769,Below_30,4132.835312,Yes,578.4830191000001,Yes,Male,After_16:00,0.36660825,0.875170813,9495.0,385.32678710000005,19.39427538,4002.314539,673.2947028,2.835795865,19.62974241,0.505,45491.09246,Maybe,104436.3259,5.813650912999999,323.1660965,94.05223557,63.71125534,90.0,Environment,9.0,233.82222050000001,3.0,Foot_or_bicycle,Public_Sector,No,0.0,398.7446021
Purples,10.0,462.091813,4181.564277,Below_30,23889.45768,Yes,12.85785202,Yes,Male,After_16:00,0.5721403620000001,0.270671561,3951.0,2.333058046,23.9753413,276.1423136,449.7433091,87.75534402,1.52743512,12.049000000000001,1018.1477179999999,Yes,736.9932582,0.329062089,27.14761975,47.10634542,154.0306043,80.0,Healthcare,12.0,839.9011037999999,2.0,Foot_or_bicycle,Public_Sector,Yes,0.0,16.08667561
Browns,10.0,481.0150611,136343.1384,45_and_up,25878.72602,Yes,1307.848974,No,Male,After_16:00,0.748543669,,5369.0,815.9040062000001,90.04086279,10135.2718,406.82345489999994,81.67717133,28.56403344,10.630999999999998,102199.2425,No,723088.963,4.471400985,850.3463783,67.71954175,160.33835369999997,80.0,Healthcare,14.0,670.8713133,0.0,Public_or_other,Industry_or_other,Yes,0.0,977.0014602
Browns,4.0,342.1693989,10522.28143,Below_30,13132.93397,No,112.1849189,Yes,Male,After_16:00,0.6269242070000001,0.197984379,7533.0,94.90537015,35.25967137,1112.3609279999998,159.24787800000001,74.56207233,9.741938726,8.467,9967.815787000001,No,8510.98848,3.059237071,92.25501873,48.64743885,114.0564663,100.0,Education,,739.2561876,1.0,Motorcycle_or_truck,Public_Sector,Yes,6.0,35.08916771
Purples,1.0,273.4127026,4039.746336,30-45,8407.193781999998,Yes,38.76252001,Yes,Male,After_16:00,0.615837929,0.218947029,7541.0,21.11215411,57.90682489,485.48239,241.5366364,13.87152094,4.594796416,8.459,3147.64509,No,1964.7772710000002,8.751342439,44.32580818,83.53047441,91.13756752,80.0,Healthcare,10.0,810.7123102999999,3.0,Foot_or_bicycle,Hightech,Yes,0.0,30.65800099
Turquoises,5.0,415.6446363,54874.78875,Below_30,19344.15529,No,721.1449216,Yes,Male,By_16:00,0.07535573400000001,,9796.0,496.5420285,69.91244094,4953.78394,480.8139449,13.40007433,22.28322303,0.204,57250.45655,Maybe,156871.4356,1.775924764,396.0699883,40.09856351,138.5482121,80.0,Healthcare,13.0,108.4245496,2.0,Public_or_other,Student_or_Unemployed,,0.0,469.3001944
Turquoises,9.0,251.54431060000002,35663.75655,45_and_up,7124.352567,Yes,674.2743642999999,Yes,Female,By_16:00,0.582104204,0.13327688099999999,7129.0,424.7006268999999,56.58512667,5102.777902000001,340.71445930000004,93.31849308,20.60826598,2.8710000000000004,52684.252,Yes,,9.794692767,425.3376648,84.04199225,83.84810352,70.0,Social,12.0,106.0444254,2.0,Foot_or_bicycle,Hightech,No,0.0,499.02006730000005
Khakis,1.0,467.1536716,78464.42691000001,Below_30,24413.779319999998,No,687.2122793,No,Female,After_16:00,0.350801439,0.311899951,7178.0,444.3473058,86.9746217,5927.577854,503.17492919999995,97.41401454,21.079547100000003,2.822,55011.78607,Maybe,253903.4433,8.476403805,503.88832419999994,88.51304618,155.7178905,100.0,Education,9.0,61.62501574,3.0,Public_or_other,Hightech,No,0.0,473.82174330000004
Browns,10.0,692.3009533,,45_and_up,53494.16809,,51.72828635,Yes,Female,By_16:00,0.319163317,0.682122736,8380.0,41.50356562,14.896873900000001,315.49767060000005,134.3838945,39.29823362,6.442326102999999,7.62,4269.827074,Maybe,540.5185088999999,2.950810718,23.24905394,29.14253145,230.7669844,60.0,Financial,11.0,814.8563847,2.0,Public_or_other,Public_Sector,Yes,0.0,24.10034381
Turquoises,2.0,206.6257698,33986.756460000004,30-45,4822.67623,Yes,698.7240368,Yes,Male,After_16:00,0.596174228,0.7772195709999999,7819.0,457.31641720000005,47.89464304,5849.170741,167.3409371,2.596612368,21.38495773,2.181,,Yes,243496.6435,7.493223867,493.45379069999996,23.46137357,68.87525661,80.0,Healthcare,14.0,49.60542646,1.0,Public_or_other,Hightech,Yes,3.0,475.5877647
Violets,9.0,168.102688,49233.57483,30-45,3205.8690850000003,No,989.5799922,No,Female,By_16:00,0.944548698,0.73516951,5932.0,692.3531638999999,,10171.04558,942.0639256000001,71.57777469,26.31260466,10.068,83140.57244,Maybe,771997.5738,8.243194139,878.6339247999999,26.20267984,56.03422932,70.0,Social,13.0,428.526479,1.0,Foot_or_bicycle,Hightech,Yes,1.0,557.1975044
Blues,1.0,1685.639687,383344.8339,Below_30,316280.8969,No,916.8070526,No,Female,After_16:00,0.504825651,0.099717432,6447.0,719.1979953,40.82831324,8260.936483,857.420238,24.00720441,26.81786709,7.553,78394.11725,No,,8.991386563999999,682.2540492,8.523627301,561.8798956,80.0,Healthcare,10.0,301.2469332,3.0,Public_or_other,Hightech,Yes,0.0,402.6069038
Turquoises,9.0,410.7379742,57290.84526,45_and_up,18891.9886,No,657.4310361,Yes,Female,By_16:00,0.695581828,0.9567992009999999,9757.0,392.01296329999997,48.95729264,4968.507192,303.5806888,23.59240437,19.79931724,0.243,50562.284810000005,No,175098.8346,8.77089808,418.4481265,75.81246193,136.9126581,100.0,Education,13.0,137.7122556,2.0,Public_or_other,Hightech,Yes,1.0,525.5491131
Browns,7.0,1014.883489,69256.9003,Below_30,114791.4607,Yes,571.5538757999999,Yes,Male,By_16:00,,0.129683104,9411.0,460.30852089999996,34.94438881,2967.854023,592.1696872,57.78846345,21.45480182,6.5889999999999995,,Yes,41911.79255,4.951691178,204.72369809999998,66.40224904,338.29449619999997,80.0,Healthcare,12.0,374.188446,3.0,Public_or_other,Public_Sector,No,1.0,273.6076744
Purples,5.0,124.4974649,8011.7968439999995,30-45,1773.6790170000002,Yes,217.571066,Yes,Male,By_16:00,0.191728307,0.371149503,4251.0,188.523909,41.8062032,2307.640586,853.0468984999999,3.916124953,13.73040091,11.749,19679.22696,Yes,37271.88435,4.368055952,193.05927680000002,32.27384046,41.49915496,70.0,Social,13.0,622.3448424,3.0,Foot_or_bicycle,Industry_or_other,Yes,0.0,
Browns,5.0,228.84669390000002,76269.94742000001,30-45,5905.261045,Yes,1495.9331320000001,No,Male,By_16:00,0.653314293,0.91155971,5982.0,996.0073405999999,37.65049318,11990.404359999999,507.87779639999997,24.44592507,31.55958397,10.017999999999999,119656.8106,Maybe,999677.9616,3.783479822,999.8389678,43.961630299999996,76.28223131,60.0,Financial,9.0,863.1039162000001,1.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,999.0852578
Pinks,9.0,194.8080656,46762.913660000006,30-45,,No,879.5162075999999,No,Female,After_16:00,0.504902505,0.64315681,6667.0,634.0744635,90.28747911,8469.531506,750.746506,56.89079,25.18083524,3.333,73862.73423999999,No,518599.1105,,720.1382579,43.34753819,64.93602186,70.0,Social,6.0,259.0946639,2.0,Public_or_other,Industry_or_other,Yes,2.0,473.67072930000006
Browns,2.0,428.1641688,114630.7639,Below_30,20522.11644,No,1159.425692,No,Male,After_16:00,0.5099810920000001,0.601907718,5821.0,644.2455719999999,80.07774078,9320.277006999999,651.3062755,65.30124068,25.38199307,10.179,88160.87539,Yes,645095.8414,2.092558909,803.1785863,72.07287212,142.7213896,70.0,Social,10.0,601.0821176,3.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,998.5736373999999
Reds,8.0,,68097.62587999999,45_and_up,15660.60016,Yes,720.8262505,No,Male,After_16:00,0.9680861479999999,0.996223053,9341.0,443.50503319999996,49.56524197,6352.161811,399.8933458,16.84658125,21.05955919,2.659,57054.08997000001,Maybe,298678.8359,3.681175876,546.5151744,47.47166291,124.60335790000002,40.0,Foreign_Affairs,8.0,80.70992489,1.0,Public_or_other,Industry_or_other,No,0.0,534.0404062
Browns,5.0,366.51588910000004,1986.108273,45_and_up,15058.16052,No,51.70361283,Yes,Female,After_16:00,0.969546812,0.981103086,,51.85861827,70.86481678,266.2838536,840.5235402999999,86.6681549,7.20129282,10.065,4581.69146,No,264.2790497,1.607062866,16.2566617,73.12483862,122.17196299999999,60.0,Financial,8.0,823.45268,1.0,Public_or_other,,Yes,2.0,6.8103804189999995
Turquoises,6.0,38.29252832,4732.64545,45_and_up,185.6883678,No,654.8854422999999,Yes,Female,By_16:00,0.093695335,0.625221515,4415.0,437.95901610000004,95.90404257,4583.674342,10.09764406,60.30851712,20.92747037,5.585,51627.56619,Maybe,137474.5685,1.922783579,370.7756309,69.7104411,12.76417611,60.0,Financial,11.0,152.7298757,0.0,Car,Student_or_Unemployed,Yes,0.0,447.2895295
Turquoises,7.0,225.84747799999997,35915.49976,45_and_up,5752.736195,No,708.8273587,Yes,Female,After_16:00,0.529572807,0.549903963,3313.0,449.2146624,5.255606538,5669.193215,32.5329355,0.613200595,21.19468477,6.687,55861.491689999995,Maybe,227601.88100000002,5.907690607,477.0763891,35.86982142,75.28249267,80.0,Healthcare,13.0,57.36765774,0.0,Foot_or_bicycle,Student_or_Unemployed,No,1.0,513.6530473
Turquoises,5.0,231.613473,29458.97963,30-45,6047.737921,No,604.4066759,Yes,Male,By_16:00,0.542544102,0.35417891,6688.0,364.7863871,64.57328349,4545.280804999999,,15.07332807,19.09938185,3.312,46614.939589999994,No,145596.2778,0.9279630609999999,381.57080310000003,11.61051211,77.204491,70.0,Social,9.0,181.35543,2.0,Car,Industry_or_other,No,0.0,475.8836943
Turquoises,4.0,679.0961438999999,82858.54134,Below_30,51477.65124,Yes,647.1647664,Yes,Male,After_16:00,0.20068641,0.17180385399999998,8839.0,410.3569487,32.73977984,4481.10317,601.8577071000001,73.66808876,20.25726903,1.161,50148.24017,Maybe,133984.4963,4.182984098,366.0389273,15.52246881,226.3653813,70.0,Social,10.0,162.13704909999998,2.0,Motorcycle_or_truck,Public_Sector,No,0.0,482.4792397
Turquoises,10.0,379.5688627,52859.71002,45_and_up,16144.5809,Yes,651.822353,Yes,Female,After_16:00,0.257314997,0.92531235,4182.0,408.9085282,50.01330241,4995.692157,152.6633073,90.91896622,20.22148679,5.818,50948.26255,Yes,174546.4036,5.819609954,417.7875101,20.77907613,126.52295420000002,80.0,Healthcare,14.0,123.73719380000001,2.0,Foot_or_bicycle,Student_or_Unemployed,No,0.0,484.0518533
Greens,10.0,972.9169142999999,101449.9739,30-45,105508.4526,Yes,883.6833639,Yes,Female,By_16:00,0.779826157,0.934594223,5609.0,565.0860825,33.31794278,4258.393263,677.0430054,35.27039837,23.77153934,4.391,66340.75168,No,97857.6724,7.776520855,312.8221098,66.34126075,324.3056381,80.0,Healthcare,13.0,272.91627180000006,,Public_or_other,Industry_or_other,No,5.0,687.6473573
Reds,7.0,55.73436926,11019.08628,30-45,373.7247805,Yes,686.9924030000001,No,Female,After_16:00,0.024061042,0.920345773,3978.0,381.64646989999994,87.05984834,6694.509043,988.355008,15.30474816,19.53577411,8.022,53687.91224,No,351793.2446,7.295353836,593.1216102999999,76.12909633,18.57812309,40.0,Foreign_Affairs,9.0,165.4004832,1.0,Foot_or_bicycle,Student_or_Unemployed,Yes,1.0,568.3968381
Turquoises,2.0,447.04359789999995,62049.37642000001,45_and_up,22364.34547,Yes,714.609514,Yes,Female,After_16:00,0.144335737,0.99061796,7552.0,498.26687699999997,82.16463539,5160.515300999999,31.55032778,61.71811735,22.32189232,2.448,57268.47621,Yes,173387.4233,9.079952443,416.39815469999996,52.59666138,149.0145326,80.0,Healthcare,12.0,97.91453333,0.0,Public_or_other,Services_or_Retail,No,3.0,449.05901860000006
Turquoises,8.0,225.65438840000002,25577.73748,30-45,5742.98513,Yes,822.7956393,Yes,Female,By_16:00,0.569156985,0.27208000000000004,6627.0,551.4395567,26.04197483,4503.354193,597.9311303,61.18027347,23.48275019,3.373,63350.75539,Yes,115632.3077,1.41266014,340.047508,52.27323582,75.21812947,90.0,Environment,15.0,188.2929248,1.0,Car,Student_or_Unemployed,No,0.0,584.990575
Greens,10.0,104.25043620000001,9947.49237,45_and_up,1252.322752,Yes,797.386358,Yes,Male,By_16:00,0.63038488,0.03232073,7509.0,491.5512931,64.47449599,3845.67834,848.3241631000001,75.52566694,22.17095607,2.491,59203.246320000006,No,81943.39945,8.789655205,286.25757539999995,65.26820776,34.75014541,100.0,Education,16.0,262.8370474,4.0,Public_or_other,Student_or_Unemployed,No,0.0,652.7288732999999
Khakis,8.0,508.45424349999996,53662.32636,Below_30,28904.564489999997,No,571.0600373999999,Yes,Male,By_16:00,0.896055963,0.864217986,8127.0,377.76813050000004,45.06326327,3921.7401259999997,521.6172636,30.89748132,19.43625814,1.8730000000000002,44776.70435,No,100248.4691,2.8168366939999996,316.6203865,86.48209523,169.4847478,80.0,Healthcare,8.0,242.5024704,4.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,398.81336269999997
Browns,1.0,267.046999,18810.32776,Below_30,8022.804521999999,Yes,661.8706252999999,Yes,Female,By_16:00,0.651630554,0.270644218,7154.0,458.9599936000001,38.81133231,3031.06799,586.4928754,20.80385839,21.42335159,8.846,50782.20804,Maybe,44653.94483,7.439630798,211.3148003,75.60756113,89.01566635,70.0,Social,13.0,294.98647789999995,0.0,Car,Student_or_Unemployed,No,0.0,455.3503022
Browns,8.0,391.31584260000005,108912.4091,Below_30,17154.67069,Yes,1132.190722,No,Male,After_16:00,0.09659859900000001,0.44676403200000003,4688.0,675.2995155,12.32908589,9700.305119,557.1336541000001,19.11096838,25.98652565,11.312000000000001,88500.97007000001,Maybe,697175.9176,7.482607407000001,834.9706087999999,9.073358658,130.4386142,80.0,Healthcare,10.0,537.3483718,0.0,Foot_or_bicycle,Public_Sector,No,0.0,881.8481947
Turquoises,7.0,196.2370184,27027.2166,30-45,4354.186494,Yes,657.9840908,Yes,Female,By_16:00,0.8929459479999999,0.337879848,5583.0,401.1119365,94.12713449,4934.0462210000005,658.9909571000001,31.86611696,20.02777912,4.417,50873.64864,Maybe,170719.5591,4.855781475,413.1822348,87.63196596,65.41233947,80.0,Healthcare,12.0,132.0778104,3.0,Car,Public_Sector,No,0.0,511.3302489
Khakis,8.0,390.7033751,36932.17228,45_and_up,17101.2486,No,539.7347172999999,Yes,Female,After_16:00,0.23912198899999998,0.918714811,7716.0,355.36208839999995,35.76442299,3546.546029,779.3791639,22.54203686,18.85105006,2.2840000000000003,42061.1927,Maybe,80418.85575,4.906981636,283.58218519999997,95.15655099,130.2344584,100.0,Education,,285.34560889999995,1.0,Motorcycle_or_truck,Public_Sector,No,0.0,383.1012383
Turquoises,,218.6888434,29442.775830000002,45_and_up,5396.764086,Yes,697.0598311000001,Yes,Female,After_16:00,0.17298196,0.608986433,,,96.22948095,4890.554086,692.4001413999999,82.11334038,,4.381,53508.18569,Yes,163134.854,6.617804187999999,403.8995593,58.46804895,72.89628114,100.0,Education,16.0,130.1810542,2.0,Motorcycle_or_truck,Public_Sector,No,0.0,546.9371062999999
Browns,6.0,582.9299761,43561.07497,30-45,37960.68299,Yes,385.24055710000005,Yes,Male,By_16:00,0.7992597379999999,0.322813217,5246.0,293.8501211,6.947747595,2829.5342579999997,887.9135677000002,90.19550222,17.14205708,10.754000000000001,31843.554480000003,Yes,50258.19753,9.687189395,224.1834015,16.01377218,194.309992,60.0,Financial,10.0,458.86254519999994,1.0,Foot_or_bicycle,Public_Sector,Yes,0.0,196.7142159
Pinks,2.0,582.5302533,55709.59399,45_and_up,37908.78742,No,603.7945664,Yes,Male,After_16:00,0.8536219270000001,0.08944133800000001,9396.0,385.6610016,45.75188353,3640.3366340000002,544.0263719999999,89.1636244,19.63825353,0.604,46218.64286,Maybe,82312.44953,9.172041249,286.9014631,9.923321707000001,194.1767511,60.0,Financial,7.0,245.80219300000002,4.0,Public_or_other,Student_or_Unemployed,Yes,0.0,456.01903719999996
Purples,6.0,214.33251,68774.93515,45_and_up,5185.7135960000005,No,1482.00541,No,Male,By_16:00,0.013401301000000001,0.184875457,9615.0,996.638336,95.11035108,11619.66538,688.6276307,9.24941171,31.56957928,6.385,118579.2106,No,,5.168699403,962.6388710000001,63.87225720000001,71.44417,60.0,Financial,10.0,829.8934399,2.0,Foot_or_bicycle,Public_Sector,Yes,1.0,977.5340403999999
Blues,8.0,2279.560569,477334.445,30-45,578147.2299,No,956.0441837000001,No,Female,By_16:00,0.861766246,0.20390771100000002,8340.0,980.5142751,81.54292987,8242.955667,380.5598859,94.96318279,31.31316457,5.66,89615.4731,Maybe,394626.0829,0.955678853,628.1927116,60.597672200000005,759.8535228999999,90.0,Environment,13.0,690.1206403,5.0,Car,Hightech,No,0.0,21.5241299
Turquoises,6.0,337.7347682,48950.147939999995,45_and_up,12796.442,Yes,722.2075405,Yes,Male,After_16:00,0.7973409920000001,0.938502524,7106.0,470.5965557,55.16457972,5289.292793,126.7180564,33.77917372,21.69323756,2.8939999999999997,56778.217520000006,Maybe,189059.7084,1.798549718,434.8099682,17.15592686,112.5782561,60.0,Financial,9.0,72.26363114,1.0,Car,Hightech,Yes,0.0,510.37928710000006
Turquoises,6.0,984.3386847999999,138922.7149,30-45,107996.1847,Yes,732.4606822000001,Yes,Male,After_16:00,0.790989741,0.666047212,8607.0,460.27301389999997,30.47231573,5154.537346,293.5998067,50.74143005,21.45397431,1.393,56709.87895,No,179266.8249,6.068307341000001,423.3991319,34.5805248,328.11289489999996,100.0,Education,14.0,100.6180929,2.0,Car,Hightech,Yes,5.0,551.7501129999999
Browns,2.0,212.45228509999998,3905.620857,30-45,5095.925590999999,Yes,352.40411869999997,Yes,Female,By_16:00,0.48208232700000003,0.026266631000000002,6703.0,345.8173785,99.57124449,1243.1403599999999,627.9987732000001,24.25217042,18.59616569,9.297,30243.00722,Yes,3041.5843059999997,4.231312971,55.15056035,48.68424542,70.81742838,100.0,Education,15.0,636.7425906000001,2.0,Car,Industry_or_other,No,2.0,71.30684407
